msa,"totalvotes, 2020","totalvotes, 2024","trump votecount, 2020","trump votecount, 2024","trump %, 2020","trump %, 2024",2020-2024 swing,category,cumulative biden inflation,_merge
aberdeen,57973.0,56867.0,31995.0,31695.0,55.18948476014697,55.7353122197408,0.5458274595938306,,,left_only
abilene,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,,,left_only
ada,15320.0,15174.0,10805.0,10967.0,70.52872062663185,72.27494398312903,1.7462233564971825,,,left_only
adrian,53375.0,55093.0,31541.0,33463.0,59.09320843091335,60.73911386201514,1.645905431101788,,,left_only
akron,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,,,left_only
alamogordo,23571.0,24242.0,14521.0,15117.0,61.605362521742826,62.35871627753485,0.7533537557920269,,,left_only
alamosa,14235.0,13703.0,6840.0,7265.0,48.050579557428875,53.01758738962271,4.967007832193836,,,left_only
albany,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,,,left_only
albany-schenectady-troy,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,,,left_only
albemarle,33939.0,36714.0,25458.0,27518.0,75.01104923539292,74.95233425941058,-0.058714975982340434,,,left_only
albert lea,16818.0,16704.0,9578.0,10003.0,56.950885955523844,59.883860153256705,2.932974197732861,,,left_only
albertville,39655.0,40388.0,33191.0,34434.0,83.69940738872778,85.25799742497772,1.5585900362499387,,,left_only
albuquerque,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,,,left_only
alexander city,20991.0,20023.0,14963.0,14884.0,71.28293077985803,74.3345153073965,3.0515845275384663,,,left_only
alexandria,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,,,left_only
alice,16153.0,15670.0,8451.0,8713.0,52.31845477620256,55.60306317804723,3.2846084018446717,,,left_only
allentown-bethlehem-easton,450071.0,464375.0,224866.0,240504.0,49.96233927535877,51.79090174966353,1.8285624743047606,,,left_only
alma,19127.0,19864.0,12102.0,12894.0,63.27181471218696,64.91139750302054,1.639582790833579,,,left_only
alpena,16969.0,17241.0,10686.0,10967.0,62.97365784666156,63.60999941998724,0.6363415733256801,,,left_only
altoona,63595.0,65140.0,45306.0,46352.0,71.24144979951254,71.15750690819773,-0.08394289131480548,,,left_only
altus,8221.0,8053.0,6392.0,6295.0,77.75209828488019,78.16962622625108,0.4175279413708921,,,left_only
amarillo,103254.0,104285.0,78347.0,81111.0,75.87793208979797,77.7782039603011,1.9002718705031327,,,left_only
americus,14425.0,14545.0,7532.0,7839.0,52.21490467937608,53.8948092127879,1.6799045334118148,,,left_only
ames,66378.0,64929.0,29270.0,30864.0,44.095935400283224,47.53499976897842,3.439064368695199,,,left_only
amherst town-northampton,88332.0,84720.0,22281.0,23256.0,25.22415432685776,27.450424929178467,2.2262706023207066,,,left_only
