state,"totalvotes, 2020",county_name,"trump votecount, 2020","trump %, 2020","trump %, 2024","trump votecount, 2024","totalvotes, 2024",LSAD_TRANS,2020-2024 swing
alabama,27770.0,autauga,19838.0,71.4368023046453,72.430253527103,20484.0,28281.0,county,0.9934512224577077
alabama,109679.0,baldwin,83544.0,76.17137282433283,78.36301319438196,95798.0,122249.0,county,2.1916403700491287
alabama,10518.0,barbour,5622.0,53.45122646891044,56.884830035514966,5606.0,9855.0,county,3.433603566604525
alabama,9595.0,bibb,7525.0,78.42626367899948,81.79755860429945,7572.0,9257.0,county,3.3712949252999778
alabama,27588.0,blount,24711.0,89.5715528490648,90.02592053403401,25354.0,28163.0,county,0.4543676849692133
alabama,4613.0,bullock,1146.0,24.842835464990245,26.78180491364631,1101.0,4111.0,county,1.9389694486560671
alabama,9488.0,butler,5458.0,57.52529510961214,60.990566037735846,5172.0,8480.0,county,3.465270928123708
alabama,50983.0,calhoun,35101.0,68.84843967597043,71.75713727827677,34912.0,48653.0,county,2.908697602306347
alabama,15284.0,chambers,8753.0,57.26903951845067,61.151281151281154,8711.0,14245.0,county,3.8822416328304854
alabama,12301.0,cherokee,10583.0,86.03365580034144,87.32892511148701,11358.0,13006.0,county,1.2952693111455744
alabama,19310.0,chilton,16085.0,83.29880890730192,85.61453220664879,16920.0,19763.0,county,2.315723299346871
alabama,7464.0,choctaw,4296.0,57.556270096463024,61.643629807692314,4103.0,6656.0,county,4.08735971122929
alabama,13135.0,clarke,7324.0,55.75942139322421,58.24552600769359,6965.0,11958.0,county,2.486104614469383
alabama,6930.0,clay,5601.0,80.82251082251082,84.7347421309295,5734.0,6767.0,county,3.912231308418683
alabama,7227.0,cleburne,6484.0,89.71910889719109,91.33446608286498,6988.0,7651.0,county,1.6153571856738864
alabama,22275.0,coffee,16899.0,75.86531986531988,78.3861284107711,17495.0,22319.0,county,2.5208085454512172
alabama,27886.0,colbert,19203.0,68.8625116545937,72.58468335787923,19714.0,27160.0,county,3.7221717032855253
alabama,6441.0,conecuh,3442.0,53.43890700201832,56.56916212196331,3423.0,6051.0,county,3.130255119944991
alabama,5479.0,coosa,3631.0,66.27121737543348,71.33637053910402,3758.0,5268.0,county,5.065153163670544
alabama,17430.0,covington,14586.0,83.68330464716007,85.8555133079848,14677.0,17095.0,county,2.1722086608247224
alabama,6617.0,crenshaw,4864.0,73.50763185733716,77.08911501695961,5000.0,6486.0,county,3.581483159622451
alabama,41851.0,cullman,36880.0,88.12214761893384,89.7047234969638,38704.0,43146.0,county,1.5825758780299566
alabama,19738.0,dale,14303.0,72.4642820954504,75.63613563927059,14476.0,19139.0,county,3.171853543820191
alabama,17864.0,dallas,5524.0,30.922525750111955,33.382646169679035,5190.0,15547.0,county,2.4601204195670796
alabama,29356.0,dekalb,24767.0,84.36776127537811,86.42279163857046,25633.0,29660.0,county,2.055030363192344
alabama,41030.0,elmore,30164.0,73.51693882524982,75.37478377858928,31374.0,41624.0,county,1.8578449533394519
alabama,15910.0,escambia,10869.0,68.31552482715273,72.76860332954469,10884.0,14957.0,county,4.453078502391961
alabama,47728.0,etowah,35528.0,74.43848474689909,77.27637254264474,35653.0,46137.0,county,2.837887795745644
alabama,8766.0,fayette,7300.0,83.27629477526808,85.52993189150436,7158.0,8369.0,county,2.253637116236277
alabama,12578.0,franklin,10376.0,82.49324216886627,86.11225923782756,10417.0,12097.0,county,3.619017068961284
alabama,12545.0,geneva,10848.0,86.47269828616979,88.12998951697443,10929.0,12401.0,county,1.6572912308046455
alabama,4775.0,greene,875.0,18.32460732984293,21.91136419905917,885.0,4039.0,county,3.5867568692162415
alabama,7900.0,hale,3192.0,40.40506329113924,46.11909650924025,3369.0,7305.0,county,5.714033218101008
alabama,9298.0,henry,6607.0,71.05829210582921,74.9892703862661,6989.0,9320.0,county,3.9309782804368893
alabama,46173.0,houston,32618.0,70.64301648149352,73.21247378745856,32469.0,44349.0,county,2.569457305965045
alabama,23636.0,jackson,19670.0,83.22051108478593,85.21395822720325,20073.0,23556.0,county,1.993447142417324
alabama,325848.0,jefferson,138843.0,42.6097444207115,43.89730301569447,131123.0,298704.0,county,1.2875585949829684
alabama,7193.0,lamar,6174.0,85.8334491867093,87.56168359941945,6033.0,6890.0,county,1.728234412710151
alabama,44339.0,lauderdale,31721.0,71.54198335551095,74.95474024337145,32708.0,43637.0,county,3.412756887860496
alabama,16031.0,lawrence,12322.0,76.86357681991142,80.78402183351942,13024.0,16122.0,county,3.9204450136080027
alabama,71449.0,lee,42221.0,59.092499545130096,62.93161212684781,46020.0,73127.0,county,3.839112581717714
alabama,49235.0,limestone,34640.0,70.35645374225652,71.03990099752494,37887.0,53332.0,county,0.683447255268419
alabama,6835.0,lowndes,1836.0,26.86174103877103,31.087533156498676,1758.0,5655.0,county,4.2257921177276465
alabama,8723.0,macon,1541.0,17.665940616760288,21.470513147817208,1682.0,7834.0,county,3.8045725310569196
alabama,194767.0,madison,102780.0,52.77074658438031,53.35067327203631,105430.0,197617.0,county,0.5799266876559983
alabama,10900.0,marengo,5343.0,49.01834862385321,51.590580458582934,4995.0,9682.0,county,2.5722318347297275
alabama,13807.0,marion,12205.0,88.39718983124502,90.41571291442074,12245.0,13543.0,county,2.0185230831757224
alabama,39655.0,marshall,33191.0,83.69940738872778,85.25799742497772,34434.0,40388.0,county,1.5585900362499387
alabama,183164.0,mobile,101243.0,55.27450809110961,57.52266447443538,100759.0,175164.0,county,2.248156383325771
alabama,10668.0,monroe,6147.0,57.62092238470191,61.20224146714213,6007.0,9815.0,county,3.581319082440217
alabama,99139.0,montgomery,33311.0,33.600298570693674,33.93950867502617,30477.0,89798.0,county,0.3392101043324942
alabama,53722.0,morgan,39664.0,73.83194966680318,75.54488915451132,40449.0,53543.0,county,1.712939487708141
alabama,5230.0,perry,1339.0,25.60229445506692,28.421052631578945,1269.0,4465.0,county,2.8187581765120235
alabama,9668.0,pickens,5594.0,57.860984691766646,61.32181328545781,5465.0,8912.0,county,3.4608285936911614
alabama,13841.0,pike,8042.0,58.10273824145654,62.1429650899199,8224.0,13234.0,county,4.040226848463355
alabama,10837.0,randolph,8559.0,78.97942234935867,82.06654043819313,9102.0,11091.0,county,3.0871180888344583
alabama,21329.0,russell,9864.0,46.246893900323506,48.6436914760112,10078.0,20718.0,county,2.3967975756876925
alabama,114950.0,shelby,79700.0,69.33449325793823,69.45718321156427,79666.0,114698.0,county,0.12268995362603619
alabama,44441.0,st. clair,36166.0,81.37980693503746,81.56274410697054,35501.0,43526.0,county,0.18293717193307657
alabama,6291.0,sumter,1598.0,25.40136703226832,29.055963821368003,1542.0,5307.0,county,3.654596789099685
alabama,35663.0,talladega,22235.0,62.3475310545944,66.46616541353384,22100.0,33250.0,county,4.118634358939445
alabama,20991.0,tallapoosa,14963.0,71.28293077985803,74.3345153073965,14884.0,20023.0,county,3.0515845275384663
alabama,90172.0,tuscaloosa,51117.0,56.6883289712993,59.49610584592286,50724.0,85256.0,county,2.8077768746235634
alabama,31170.0,walker,26002.0,83.41995508501765,85.48982743570805,25464.0,29786.0,county,2.069872350690403
alabama,8876.0,washington,6564.0,73.95223073456512,77.40789006041938,6534.0,8441.0,county,3.4556593258542563
alabama,5903.0,wilcox,1833.0,31.05200745383703,34.06802204066122,1793.0,5263.0,county,3.0160145868241877
alabama,11284.0,winston,10195.0,90.3491669620702,91.40730110323796,10191.0,11149.0,county,1.0581341411677556
alaska,7314.0,district 1,3511.0,48.00382827454197,,,,,
alaska,11205.0,district 10,8081.0,72.11958946898706,,,,,
alaska,10628.0,district 11,7096.0,66.76703048550998,,,,,
alaska,11238.0,district 12,7893.0,70.2349172450614,,,,,
alaska,7713.0,district 13,4652.0,60.313755996369764,,,,,
alaska,11443.0,district 14,6714.0,58.6734248011885,,,,,
alaska,5559.0,district 15,2671.0,48.04821010973196,,,,,
alaska,8118.0,district 16,3516.0,43.31116038433112,,,,,
alaska,7239.0,district 17,2810.0,38.81751623152369,,,,,
alaska,7720.0,district 18,2760.0,35.751295336787564,,,,,
alaska,5301.0,district 19,1975.0,37.25712129786833,,,,,
alaska,6136.0,district 2,3674.0,59.8761408083442,,,,,
alaska,7497.0,district 20,2383.0,31.786047752434303,,,,,
alaska,9429.0,district 21,3690.0,39.13458479160038,,,,,
