fips,GeoName,category,cumulative biden rpp percent change,year,rpp,msa,state
00000,united states,all items,0.0,2008,100,united states,
00000,united states,goods,0.0010045304322399663,2008,99.497,united states,
00000,united states,housing,-0.006958112164773067,2008,100.423,united states,
00000,united states,utilities,0.1784935549628327,2008,98.516,united states,
00000,united states,other services,0.017967299514883593,2008,100.308,united states,
00999,united states (nonmetropolitan portion),all items,0.26599658166094997,2008,86.54,united states (nonmetropolitan portion),
00999,united states (nonmetropolitan portion),goods,-0.7568580500754816,2008,89.766,united states (nonmetropolitan portion),
00999,united states (nonmetropolitan portion),housing,-0.003363775501627133,2008,61.624,united states (nonmetropolitan portion),
00999,united states (nonmetropolitan portion),utilities,0.2761729063331971,2008,84.056,united states (nonmetropolitan portion),
00999,united states (nonmetropolitan portion),other services,-0.5420748452678571,2008,96.64,united states (nonmetropolitan portion),
10180,"abilene, tx (metropolitan statistical area)",all items,1.5047909889574889,2008,92.141,abilene,tx
10180,"abilene, tx (metropolitan statistical area)",goods,-2.830737279335409,2008,96.484,abilene,tx
10180,"abilene, tx (metropolitan statistical area)",housing,14.112555422725977,2008,69.648,abilene,tx
10180,"abilene, tx (metropolitan statistical area)",utilities,1.5597859665893306,2008,98.494,abilene,tx
10180,"abilene, tx (metropolitan statistical area)",other services,-2.223362924492223,2008,97.743,abilene,tx
10420,"akron, oh (metropolitan statistical area)",all items,-1.5517056999251497,2008,92.516,akron,oh
10420,"akron, oh (metropolitan statistical area)",goods,-1.7951369271605042,2008,90.32,akron,oh
10420,"akron, oh (metropolitan statistical area)",housing,-6.421188946172454,2008,84.898,akron,oh
10420,"akron, oh (metropolitan statistical area)",utilities,-1.8468557390713052,2008,110.68,akron,oh
10420,"akron, oh (metropolitan statistical area)",other services,0.041010078226716054,2008,95.422,akron,oh
10500,"albany, ga (metropolitan statistical area)",all items,2.9591581355992678,2008,86.45,albany,ga
10500,"albany, ga (metropolitan statistical area)",goods,0.026247821430827212,2008,96.786,albany,ga
10500,"albany, ga (metropolitan statistical area)",housing,0.8619999999999948,2008,50.702,albany,ga
10500,"albany, ga (metropolitan statistical area)",utilities,-0.11517704356983456,2008,86.528,albany,ga
10500,"albany, ga (metropolitan statistical area)",other services,4.5145421865310045,2008,97.65,albany,ga
10540,"albany-lebanon, or (metropolitan statistical area)",all items,2.07335278219551,2008,99.418,albany-lebanon,or
10540,"albany-lebanon, or (metropolitan statistical area)",goods,4.47493747544534,2008,102.253,albany-lebanon,or
10540,"albany-lebanon, or (metropolitan statistical area)",housing,-6.191184693094267,2008,91.896,albany-lebanon,or
10540,"albany-lebanon, or (metropolitan statistical area)",utilities,-7.945389906809434,2008,72.68,albany-lebanon,or
10540,"albany-lebanon, or (metropolitan statistical area)",other services,4.1644250503118405,2008,102.465,albany-lebanon,or
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",all items,-2.578718510073747,2008,102.702,albany-schenectady-troy,ny
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",goods,-2.126385449230643,2008,101.337,albany-schenectady-troy,ny
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",housing,-3.273373771177588,2008,104.625,albany-schenectady-troy,ny
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",utilities,-0.44727179316702653,2008,143.349,albany-schenectady-troy,ny
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",other services,-2.8322834091890994,2008,101.171,albany-schenectady-troy,ny
10740,"albuquerque, nm (metropolitan statistical area)",all items,-0.8157022686719355,2008,96.951,albuquerque,nm
10740,"albuquerque, nm (metropolitan statistical area)",goods,0.5908312882803072,2008,95.837,albuquerque,nm
10740,"albuquerque, nm (metropolitan statistical area)",housing,2.8716294611778834,2008,96.454,albuquerque,nm
10740,"albuquerque, nm (metropolitan statistical area)",utilities,-0.10406200660255885,2008,85.067,albuquerque,nm
